,owner_id,owner_age_group,owner_gender,district,dog_breed,dog_birthyear,dog_sex,dog_colour,dog_age,distric_name
115,67272,31-40,Female,3,Beagle,2017,Female,tricolor,3,Wiedikon
116,67308,51-60,Female,11,Shih Tzu,2012,Female,brown & white,8,"Affoltern, Seebach, Oerlikon"
117,67327,41-50,Male,5,Standard poodle,2018,Male,cream,2,Industriequartier
118,70076,41-50,Male,9,Labrador Retriever,2009,Male,brown,11,"Albisriesen, Altstetten"
119,70115,41-50,Female,3,Big mixed breed,2016,Male,black & white,4,Wiedikon
120,70152,61-70,Male,8,Bayerischer Gebirgsschweisshund,2018,Female,black,2,Riesbach
121,70176,41-50,Female,4,Big mixed breed,2012,Female,white,8,Aussersihl
122,70296,51-60,Female,7,Pinscher,2009,Male,light brown,11,"Funtern, Hottingen, Hirslanden, Witikon"
123,70296,51-60,Female,7,Small mixed breed,2010,Female,weiss/beige,10,"Funtern, Hottingen, Hirslanden, Witikon"
124,70577,51-60,Female,3,Small mixed breed,2014,Female,blond,6,Wiedikon
125,70788,31-40,Male,7,Pug,2014,Female,brown,6,"Funtern, Hottingen, Hirslanden, Witikon"
126,71024,61-70,Female,7,Lagotto Romagnolo,2012,Female,bianco-aranico,8,"Funtern, Hottingen, Hirslanden, Witikon"
127,71142,51-60,Female,7,Canaan Dog,2008,Male,black,12,"Funtern, Hottingen, Hirslanden, Witikon"
128,71555,71-80,Male,7,Braque d'Auvergne,2018,Male,black & white,2,"Funtern, Hottingen, Hirslanden, Witikon"
129,71670,61-70,Male,7,Deutscher Schäfer,2012,Female,brown,8,"Funtern, Hottingen, Hirslanden, Witikon"
130,71885,71-80,Female,7,Small mixed breed,2013,Female,white & brown,7,"Funtern, Hottingen, Hirslanden, Witikon"
131,71893,51-60,Female,6,Border Collie,2012,Female,tricolor,8,"Unterstrass, Oberstrass"
132,71991,51-60,Male,6,Border Collie,2015,Male,black & white,5,"Unterstrass, Oberstrass"
133,72136,61-70,Male,7,Labrador Retriever,2007,Male,choco,13,"Funtern, Hottingen, Hirslanden, Witikon"
134,72580,41-50,Male,10,Prager Rattler,2013,Male,light brown,7,"Hoengg, Wipkingen"
135,72580,41-50,Male,10,Prager Rattler,2013,Male,brown,7,"Hoengg, Wipkingen"
136,80007,71-80,Male,11,Labrador Retriever,2016,Male,black,4,"Affoltern, Seebach, Oerlikon"
137,80011,51-60,Female,12,Yorkshire Terrier,2009,Male,tricolor,11,Schwamendingen
138,80021,51-60,Female,11,Labrador Retriever,2011,Female,black,9,"Affoltern, Seebach, Oerlikon"
139,80023,71-80,Male,11,Border Collie,2010,Male,tricolor,10,"Affoltern, Seebach, Oerlikon"
140,80023,71-80,Male,11,Border Collie,2014,Female,black & white,6,"Affoltern, Seebach, Oerlikon"
141,80028,41-50,Female,10,Border Collie,2015,Female,tricolor,5,"Hoengg, Wipkingen"
142,80056,81-90,Male,7,Labrador Retriever,2006,Female,black,14,"Funtern, Hottingen, Hirslanden, Witikon"
143,80059,71-80,Female,12,French bulldog,2007,Female,white,13,Schwamendingen
144,80068,51-60,Male,9,Bayerischer Gebirgsschweisshund,2011,Male,hirschrot mit Maske,9,"Albisriesen, Altstetten"
145,80096,51-60,Female,11,Shih Tzu,2014,Male,beige,6,"Affoltern, Seebach, Oerlikon"
146,80099,81-90,Male,12,Pinscher,2002,Male,red,18,Schwamendingen
147,80106,61-70,Female,9,Labrador Retriever,2009,Male,black,11,"Albisriesen, Altstetten"
148,80127,51-60,Female,10,Big mixed breed,2016,Male,white & brown,4,"Hoengg, Wipkingen"
149,80134,71-80,Male,9,Big mixed breed,2016,Female,white,4,"Albisriesen, Altstetten"
150,80141,51-60,Male,11,Yorkshire Terrier,2003,Female,schwarz/braun/grau,17,"Affoltern, Seebach, Oerlikon"
151,80162,61-70,Male,12,Spitz,2004,Male,black & white,16,Schwamendingen
152,80162,61-70,Male,12,Parson Jack Russell Terrier,2008,Male,weiss/rot,12,Schwamendingen
153,80168,61-70,Male,11,Labrador Retriever,2005,Male,beige,15,"Affoltern, Seebach, Oerlikon"
154,80172,61-70,Male,9,Labrador Retriever,2008,Male,black,12,"Albisriesen, Altstetten"
155,80185,41-50,Male,10,Labrador Retriever,2010,Female,blond,10,"Hoengg, Wipkingen"
156,80205,41-50,Male,5,Beauceron Berge de Beauce,2016,Male,black & brown,4,Industriequartier
157,80226,71-80,Female,6,Labrador Retriever,2018,Female,blond,2,"Unterstrass, Oberstrass"
158,80230,61-70,Female,9,Yorkshire Terrier,2006,Male,brown & white,14,"Albisriesen, Altstetten"
159,80230,61-70,Female,9,Chihuahua,2017,Female,beige,3,"Albisriesen, Altstetten"
160,80248,61-70,Male,4,Jack Russel Terrier,2009,Female,brown & white,11,Aussersihl
161,80258,61-70,Male,11,Dachshund,2009,Female,rot/schwarz,11,"Affoltern, Seebach, Oerlikon"
162,80258,61-70,Male,11,Weimaraner,2016,Female,grey,4,"Affoltern, Seebach, Oerlikon"
163,80267,41-50,Male,12,Small mixed breed,2006,Male,brown,14,Schwamendingen
164,80272,51-60,Male,9,Foxterrier,2017,Male,black & white,3,"Albisriesen, Altstetten"
165,80319,51-60,Female,10,Small mixed breed,2006,Male,brown & black,14,"Hoengg, Wipkingen"
166,80335,61-70,Female,12,Irish Setter,2008,Male,brown,12,Schwamendingen
167,80335,61-70,Female,12,Irish Setter,2008,Male,brown,12,Schwamendingen
168,80370,61-70,Male,12,Deutscher Schäfer,2016,Male,black & brown,4,Schwamendingen
169,80382,61-70,Female,10,Dachshund,2008,Male,brown,12,"Hoengg, Wipkingen"
170,80383,91-100,Female,4,Maltese,2014,Female,white,6,Aussersihl
171,80404,61-70,Male,7,Deutscher Wachtelhund,2015,Male,braun schimmel,5,"Funtern, Hottingen, Hirslanden, Witikon"
172,80406,61-70,Male,11,Labrador Retriever,2008,Female,black,12,"Affoltern, Seebach, Oerlikon"
173,80407,81-90,Male,7,Labrador Retriever,2012,Female,black,8,"Funtern, Hottingen, Hirslanden, Witikon"
174,80410,61-70,Female,3,Labrador Retriever,2012,Female,black,8,Wiedikon
175,80412,51-60,Male,2,Labrador Retriever,2012,Male,black,8,"Wollishofen, Leimbach, Enge"
176,80416,51-60,Female,9,Labrador,2016,Male,black,4,"Albisriesen, Altstetten"
177,80434,61-70,Female,7,Standard poodle,2006,Male,black,14,"Funtern, Hottingen, Hirslanden, Witikon"
178,80491,71-80,Female,6,Chihuahua,2006,Female,brown,14,"Unterstrass, Oberstrass"
179,80493,81-90,Female,11,Shih Tzu,2006,Male,white & black,14,"Affoltern, Seebach, Oerlikon"
180,80500,61-70,Male,11,Boxer,2010,Female,goldbraun,10,"Affoltern, Seebach, Oerlikon"
181,80509,71-80,Female,2,Boxer,2011,Female,gelb,9,"Wollishofen, Leimbach, Enge"
182,80513,61-70,Female,3,Parson Jack Russell Terrier,2011,Female,tricolor,9,Wiedikon
183,80517,51-60,Female,11,Bolonka Zwetna,2016,Female,beige/creme,4,"Affoltern, Seebach, Oerlikon"
184,80521,61-70,Female,11,Deutscher Schäfer,2013,Female,black & brown,7,"Affoltern, Seebach, Oerlikon"
185,80525,81-90,Male,7,Miniature poodle,2011,Male,black,9,"Funtern, Hottingen, Hirslanden, Witikon"
186,80538,61-70,Female,2,English Cocker Spaniel,2011,Male,black & white,9,"Wollishofen, Leimbach, Enge"
187,80545,51-60,Male,9,Border Terrier,2010,Female,red grizzle,10,"Albisriesen, Altstetten"
188,80545,51-60,Male,9,Border Terrier,2006,Female,black & brown,14,"Albisriesen, Altstetten"
189,80571,51-60,Male,3,Small mixed breed,2013,Female,black & brown,7,Wiedikon
190,80575,81-90,Female,4,Small mixed breed,2008,Female,weiss/beige,12,Aussersihl
191,80584,71-80,Female,8,Labrador Retriever,2009,Male,black,11,Riesbach
192,80602,71-80,Female,12,Bolonka Zwetna,2011,Male,white,9,Schwamendingen
193,80604,71-80,Male,7,Labrador Retriever,2009,Female,brown,11,"Funtern, Hottingen, Hirslanden, Witikon"
194,80604,71-80,Male,7,Labrador Retriever,2012,Female,black,8,"Funtern, Hottingen, Hirslanden, Witikon"
195,80607,81-90,Female,10,West Highland White Terrier,2004,Female,white,16,"Hoengg, Wipkingen"
196,80618,71-80,Female,8,Irish Terrier,2005,Female,red,15,Riesbach
197,80628,61-70,Male,9,Labrador Retriever,2016,Female,black,4,"Albisriesen, Altstetten"
198,80631,71-80,Female,11,Big mixed breed,2012,Female,brown & black,8,"Affoltern, Seebach, Oerlikon"
199,80637,81-90,Male,12,Big mixed breed,2009,Female,black,11,Schwamendingen
200,80648,51-60,Male,11,Groenendael,2015,Male,black,5,"Affoltern, Seebach, Oerlikon"
201,80653,61-70,Male,7,Groenendael,2009,Female,black,11,"Funtern, Hottingen, Hirslanden, Witikon"
202,80656,71-80,Male,10,Epagneul Breton (Bretonischer Vorstehhund),2008,Female,white & brown,12,"Hoengg, Wipkingen"
203,80659,51-60,Female,3,English Springer Spaniel,2012,Male,black & white,8,Wiedikon
204,80661,71-80,Female,7,Chihuahua,2014,Female,schwarz/beige,6,"Funtern, Hottingen, Hirslanden, Witikon"
205,80684,71-80,Female,7,Bergamasker,2009,Male,tricolor,11,"Funtern, Hottingen, Hirslanden, Witikon"
206,80698,41-50,Female,11,Toypudel,2016,Male,red,4,"Affoltern, Seebach, Oerlikon"
207,80698,41-50,Female,11,Toypudel,2019,Male,white,1,"Affoltern, Seebach, Oerlikon"
208,80700,51-60,Female,2,Small mixed breed,2007,Female,brown & white,13,"Wollishofen, Leimbach, Enge"
209,80700,51-60,Female,2,Podenco,2009,Female,brown & black,11,"Wollishofen, Leimbach, Enge"
210,80713,61-70,Male,11,Dachshund,2012,Female,red,8,"Affoltern, Seebach, Oerlikon"
211,80715,61-70,Male,6,Small mixed breed,2007,Male,rehbraun,13,"Unterstrass, Oberstrass"
212,80719,61-70,Female,11,Jack Russel Terrier,2004,Male,weiss/schwarz/braun,16,"Affoltern, Seebach, Oerlikon"
213,80719,61-70,Female,11,Parson Terrier,2005,Male,beige,15,"Affoltern, Seebach, Oerlikon"
214,80734,71-80,Female,2,Podenco,2016,Female,brown & white,4,"Wollishofen, Leimbach, Enge"
215,80735,51-60,Female,12,Golden Retriever,2010,Female,blond,10,Schwamendingen
216,80746,71-80,Female,7,Dachshund,2016,Male,schwarz/rot,4,"Funtern, Hottingen, Hirslanden, Witikon"
217,80753,71-80,Male,11,Small mixed breed,2011,Female,brown,9,"Affoltern, Seebach, Oerlikon"
218,80755,61-70,Female,9,West Highland White Terrier,2012,Female,white,8,"Albisriesen, Altstetten"
219,80760,71-80,Female,7,Epagneul Breton (Bretonischer Vorstehhund),2015,Male,weiss/orange,5,"Funtern, Hottingen, Hirslanden, Witikon"
220,80761,71-80,Male,11,Appenzeller Sennenhund,2011,Female,tricolor,9,"Affoltern, Seebach, Oerlikon"
221,80761,71-80,Male,11,Appenzeller Sennenhund,2008,Male,tricolor,12,"Affoltern, Seebach, Oerlikon"
222,80763,71-80,Female,7,Berner Sennenhund,2012,Female,tricolor,8,"Funtern, Hottingen, Hirslanden, Witikon"
223,80767,71-80,Female,9,Beagle,2012,Male,tricolor,8,"Albisriesen, Altstetten"
224,80778,61-70,Male,2,Yorkshire Terrier,2014,Female,black & brown,6,"Wollishofen, Leimbach, Enge"
225,80784,51-60,Female,7,Small mixed breed,2015,Male,beige,5,"Funtern, Hottingen, Hirslanden, Witikon"
226,80797,81-90,Female,2,Shih Tzu,2009,Male,tricolor,11,"Wollishofen, Leimbach, Enge"
227,80835,81-90,Female,7,Maltese,2013,Female,white,7,"Funtern, Hottingen, Hirslanden, Witikon"
228,80838,71-80,Female,7,Toypudel,2013,Female,black,7,"Funtern, Hottingen, Hirslanden, Witikon"
229,80840,51-60,Female,10,Dalmatiner,2012,Male,black & white,8,"Hoengg, Wipkingen"
230,80847,71-80,Male,9,Beagle,2006,Female,tricolor,14,"Albisriesen, Altstetten"
231,80853,51-60,Female,12,Labrador,2015,Female,black,5,Schwamendingen
232,80871,61-70,Male,7,Miniature Australian Shepherd,2017,Male,tricolor,3,"Funtern, Hottingen, Hirslanden, Witikon"
233,80876,51-60,Female,2,Zwergschnauzer,2017,Male,black & white,3,"Wollishofen, Leimbach, Enge"
234,80879,61-70,Male,7,Nova Scotia Duck Tolling Retriever,2016,Female,red & white,4,"Funtern, Hottingen, Hirslanden, Witikon"
235,80881,71-80,Female,7,Pug,2008,Female,beige,12,"Funtern, Hottingen, Hirslanden, Witikon"
236,80881,71-80,Female,7,Pug,2010,Male,beige,10,"Funtern, Hottingen, Hirslanden, Witikon"
237,80883,61-70,Female,7,Galgo Espanol,2014,Female,braun gestromt,6,"Funtern, Hottingen, Hirslanden, Witikon"
238,80883,61-70,Female,7,Big mixed breed,2018,Female,beige,2,"Funtern, Hottingen, Hirslanden, Witikon"
239,80884,81-90,Female,7,Cocker Spaniel,2005,Female,weiss/orange,15,"Funtern, Hottingen, Hirslanden, Witikon"
240,80888,71-80,Female,7,Deutscher Boxer,2011,Female,hirschrot,9,"Funtern, Hottingen, Hirslanden, Witikon"
241,80890,61-70,Male,7,Pinscher,2004,Female,tricolor,16,"Funtern, Hottingen, Hirslanden, Witikon"
242,80899,51-60,Female,11,Small mixed breed,2015,Female,tricolor,5,"Affoltern, Seebach, Oerlikon"
243,80904,61-70,Male,8,Border Collie,2016,Female,tricolor,4,Riesbach
244,80915,71-80,Female,3,Golden Retriever,2006,Female,blond,14,Wiedikon
245,80916,41-50,Female,9,Groenendael,2010,Female,black,10,"Albisriesen, Altstetten"
246,80916,41-50,Female,9,Groenendael,2018,Female,black,2,"Albisriesen, Altstetten"
247,80917,41-50,Female,10,Big mixed breed,2014,Female,white & brown,6,"Hoengg, Wipkingen"
248,80940,71-80,Female,7,Small mixed breed,2004,Male,grau/weiss,16,"Funtern, Hottingen, Hirslanden, Witikon"
249,80940,71-80,Female,7,Small mixed breed,2011,Female,black & brown,9,"Funtern, Hottingen, Hirslanden, Witikon"
250,80945,71-80,Female,7,Jack Russel Terrier,2003,Female,tricolor,17,"Funtern, Hottingen, Hirslanden, Witikon"
251,80950,71-80,Female,7,Rhodesian Ridgeback,2019,Female,red-wheaten,1,"Funtern, Hottingen, Hirslanden, Witikon"
252,80957,51-60,Female,7,Riesenschnauzer,2012,Female,black,8,"Funtern, Hottingen, Hirslanden, Witikon"
253,80959,51-60,Female,8,Spinone,2016,Female,braun schimmel,4,Riesbach
254,80960,71-80,Female,7,Pug,2007,Male,black,13,"Funtern, Hottingen, Hirslanden, Witikon"
255,80978,61-70,Female,9,Small mixed breed,2012,Male,tricolor,8,"Albisriesen, Altstetten"
256,80982,61-70,Female,10,Dachshund,2013,Female,brindle,7,"Hoengg, Wipkingen"
257,80994,51-60,Female,10,Labrador,2018,Male,brown,2,"Hoengg, Wipkingen"
258,80999,61-70,Female,10,West Highland White Terrier,2012,Female,white,8,"Hoengg, Wipkingen"
259,81001,71-80,Male,10,Boxer,2017,Female,brindle,3,"Hoengg, Wipkingen"
260,81004,61-70,Female,9,Scottish Terrier,2006,Male,brindle,14,"Albisriesen, Altstetten"
261,81004,61-70,Female,9,Scottish Terrier,2013,Male,black,7,"Albisriesen, Altstetten"
262,81004,61-70,Female,9,Small mixed breed,2015,Male,beige/schwarz,5,"Albisriesen, Altstetten"
263,81004,61-70,Female,9,Small mixed breed,2016,Female,beige/rot,4,"Albisriesen, Altstetten"
264,81018,81-90,Female,10,Tervueren,2005,Female,brown,15,"Hoengg, Wipkingen"
265,81042,41-50,Female,2,Small mixed breed,2008,Female,tricolor,12,"Wollishofen, Leimbach, Enge"
266,81042,41-50,Female,2,Foxterrier,2011,Male,brown & white,9,"Wollishofen, Leimbach, Enge"
267,81045,71-80,Female,6,Zwergrauhaardackel,2009,Female,saufarben,11,"Unterstrass, Oberstrass"
268,81050,61-70,Female,5,Labrador Retriever,2009,Male,black,11,Industriequartier
269,81050,61-70,Female,5,Labrador Retriever,2005,Male,black,15,Industriequartier
